Provinsi,x
Aceh,5333.7
Sumatera Utara,14936.2
Sumatera Barat,5580.2
Riau,6493.6
Jambi,3585.1
Sumatera Selatan,8550.9
Bengkulu,2032.9
Lampung,9081.8
Kepulauan Bangka Belitung,1473.2
Kepulauan Riau,2118.2
DKI Jakarta,10609.7
Jawa Barat,48782.4
Jawa Tengah,36742.5
DI Yogyakarta,3712.9
Jawa Timur,40878.8
Banten,12061.5
Bali,4362.7
Nusa Tenggara Barat,5390
Nusa Tenggara Timur,5387.7
Kalimantan Barat,5470.8
Kalimantan Tengah,2702.2
Kalimantan Selatan,4122.6
Kalimantan Timur,3808.2
Kalimantan Utara,713.6
Sulawesi Utara,2638.6
Sulawesi Tengah,3021.9
Sulawesi Selatan,9139.5
Sulawesi Tenggara,2659.2
Gorontalo,1181
Sulawesi Barat,1436.8
Maluku,1862.6
Maluku Utara,1299.2
Papua Barat,1156.8
Papua,4355.4
Indonesia,272682.5
