Provinsi,x
Aceh,92
Sumatera Utara,205
Sumatera Barat,133
Riau,75
Jambi,72
Sumatera Selatan,93
Bengkulu,102
Lampung,262
Kepulauan Bangka Belitung,90
Kepulauan Riau,258
DKI Jakarta,15978
Jawa Barat,1379
Jawa Tengah,1120
DI Yogyakarta,1185
Jawa Timur,855
Banten,1248
Bali,755
Nusa Tenggara Barat,290
Nusa Tenggara Timur,111
Kalimantan Barat,37
Kalimantan Tengah,18
Kalimantan Selatan,106
Kalimantan Timur,30
Kalimantan Utara,9
Sulawesi Utara,190
Sulawesi Tengah,49
Sulawesi Selatan,196
Sulawesi Tenggara,70
Gorontalo,105
Sulawesi Barat,86
Maluku,40
Maluku Utara,41
Papua Barat,11
Papua,14
Indonesia,142
