Provinsi,x
Aceh,15.53
Sumatera Utara,8.49
Sumatera Barat,6.04
Riau,7
Jambi,7.67
Sumatera Selatan,12.79
Bengkulu,14.43
Lampung,11.67
Kepulauan Bangka Belitung,4.67
Kepulauan Riau,5.75
DKI Jakarta,4.67
Jawa Barat,7.97
Jawa Tengah,11.25
DI Yogyakarta,11.91
Jawa Timur,10.59
Banten,6.5
Bali,4.72
Nusa Tenggara Barat,13.83
Nusa Tenggara Timur,20.44
Kalimantan Barat,6.84
Kalimantan Tengah,5.16
Kalimantan Selatan,4.56
Kalimantan Timur,6.27
Kalimantan Utara,6.83
Sulawesi Utara,7.36
Sulawesi Tengah,12.18
Sulawesi Selatan,8.53
Sulawesi Tenggara,11.74
Gorontalo,15.41
Sulawesi Barat,11.85
Maluku,16.3
Maluku Utara,6.38
Papua Barat,21.82
Papua,27.38
Indonesia,9.71
