Provinsi,x
Aceh,6.3
Sumatera Utara,6.33
Sumatera Barat,6.52
Riau,4.42
Jambi,5.09
Sumatera Selatan,4.98
Bengkulu,3.65
Lampung,4.69
Kepulauan Bangka Belitung,5.03
Kepulauan Riau,9.91
DKI Jakarta,8.5
Jawa Barat,9.82
Jawa Tengah,5.95
DI Yogyakarta,4.56
Jawa Timur,5.74
Banten,8.98
Bali,5.37
Nusa Tenggara Barat,3.01
Nusa Tenggara Timur,3.77
Kalimantan Barat,5.82
Kalimantan Tengah,4.53
Kalimantan Selatan,4.95
Kalimantan Timur,6.83
Kalimantan Utara,4.58
Sulawesi Utara,7.06
Sulawesi Tengah,3.75
Sulawesi Selatan,5.72
Sulawesi Tenggara,3.92
Gorontalo,3.01
Sulawesi Barat,3.13
Maluku,6.93
Maluku Utara,4.71
Papua Barat,5.84
Papua,3.33
Indonesia,6.49
